OBJID;RA;DEC;NAME;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;NUFNU_3000EV;NUFNU_ERROR_3000EV;NUFNU_500EV;NUFNU_ERROR_500EV;UPPER_LIMIT_500EV;NUFNU_1500EV;NUFNU_ERROR_1500EV;UPPER_LIMIT_1500EV;NUFNU_4500EV;NUFNU_ERROR_4500EV;UPPER_LIMIT_4500EV;COUNTRATES_300_10000EV;COUNTRATES_ERROR_300_10000EV;COUNTRATES_300_1000EV;COUNTRATES_ERROR_300_1000EV;UPPER_LIMIT_300_1000EV;COUNTRATES_1000_2000EV;COUNTRATES_ERROR_1000_2000EV;UPPER_LIMIT_1000_2000EV;COUNTRATES_2000_10000EV;COUNTRATES_ERROR_2000_10000EV;UPPER_LIMIT_2000_10000EV;RUNID;SNR
33;296.151;-5.70741;SDSX_J194436.3-054226.7;7.51e+20;0.8;-999/-999;2759.3;8.00273e-14;3.48634e-14;5.7631e-14;4.36256e-14;-999;3.1586e-14;3.47566e-14;-999;1.37062e-13;8.48428e-14;-999;0.00505;0.0022;0.001683;0.001274;-999;0.0008418;0.0009263;-999;0.002525;0.001563;-999;295_8908_m5_5649_15;2761.6
34;38.193;6.63148;SDSX_J023246.3+063753.3;5.98e+20;0.8;-999/-999;1280.6;5.00277e-13;8.51536e-14;6.46768e-13;1.38986e-13;-999;3.30674e-13;1.09254e-13;-999;1.61969e-13;8.91883e-14;-999;0.0329;0.0056;0.02095;0.004502;-999;0.008974;0.002965;-999;0.002991;0.001647;-999;38_19258_6_6285_15;1286.47
35;38.1816;6.63417;SDSX_J023243.6+063803.0;5.97e+20;0.8;-999/-999;1422.4;1.76343e-13;5.01666e-14;8.94679e-14;5.09041e-14;-999;2.13726e-13;8.35968e-14;-999;1.57038e-13;8.93491e-14;-999;0.0116;0.0033;0.0029;0.00165;-999;0.005801;0.002269;-999;0.0029;0.00165;-999;38_19258_6_6285_15;1425.92
36;38.0543;6.83053;SDSX_J023213.0+064949.9;6.08e+20;0.8;-999/-999;887.3;7.76174e-13;1.5249e-13;7.91164e-13;2.13723e-13;-999;4.02112e-13;1.68297e-13;-999;7.87486e-13;2.8434e-13;-999;0.0509;0.01;0.02545;0.006875;-999;0.0109;0.004562;-999;0.01454;0.00525;-999;38_19258_6_6285_15;892.39
37;29.8824;-1.30736;SDSX_J015931.8-011826.5;2.42e+20;0.8;-999/-999;1221.6;8.65556e-14;3.53288e-14;3.77909e-14;3.08594e-14;-999;1.12507e-13;6.48195e-14;-999;8.5726e-14;7.00024e-14;-999;0.00637;0.0026;0.001592;0.0013;-999;0.003185;0.001835;-999;0.001592;0.0013;-999;6_29_-1;1224.05
38;5.66745;1.30463;SDSX_J002240.2+011816.7;2.79e+20;0.8;-999/-999;13456.2;4.14327e-14;8.12135e-15;5.5905e-14;1.24076e-14;-999;2.56343e-14;1.00692e-14;-999;0;-3.17569e-11;4.2937e-14;0.00301;0.00059;0.002288;0.0005078;-999;0.0007225;0.0002838;-999;0;-0.5894;0.0007969;12_5_1;13461.3
39;5.65448;1.25991;SDSX_J002237.1+011535.7;2.79e+20;0.8;-999/-999;13484.3;1.33383e-14;4.9554e-15;1.79981e-14;-8.78647e-12;2.23522e-14;1.47348e-14;8.41231e-15;-999;2.98387e-14;1.46661e-14;-999;0.000969;0.00036;0.0007366;-0.3596;0.0009148;0.0004153;0.0002371;-999;0.0005538;0.0002722;-999;12_5_1;13487
40;5.64859;1.36784;SDSX_J002235.7+012204.2;2.81e+20;0.744;+0.20/-0.16;13475.7;1.17531e-13;1.29789e-14;7.83676e-14;1.34282e-14;-999;9.0989e-14;1.76487e-14;-999;1.28776e-13;2.58372e-14;-999;0.00815;0.0009;0.003239;0.000555;-999;0.002552;0.000495;-999;0.002355;0.0004725;-999;12_5_1;13484.8
41;5.56618;1.28725;SDSX_J002215.9+011714.1;2.81e+20;0.8;-999/-999;13484.3;2.24533e-14;6.061e-15;1.74485e-14;7.12135e-15;-999;2.16873e-14;9.57138e-15;-999;1.6466e-14;1.03236e-14;-999;0.00163;0.00044;0.000713;0.000291;-999;0.0006111;0.0002697;-999;0.0003056;0.0001916;-999;12_5_1;13488
42;5.62774;1.37352;SDSX_J002230.7+012224.7;2.82e+20;0.8;-999/-999;13484.3;2.93514e-14;7.0278e-15;1.56497e-14;6.88197e-15;-999;1.512e-14;8.1279e-15;-999;5.73843e-14;1.96292e-14;-999;0.00213;0.00051;0.000639;0.000281;-999;0.000426;0.000229;-999;0.001065;0.0003643;-999;12_5_1;13488.5
